R,Player,Age,Continet,Team,TeamA,TeamB,TeamC,Position,FW,MF,DF,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Rating2,Drb,Tackles,Blocks,Clear,Inter
131,Mark Noble ,31,1,West Ham ,0,1,0,MF,0,0,0,28(1),2405,4,0,6,0,0.5,83.9,0.3,1,6.81,6.29,0.7,2.1,0.3,0.7,1.7
132,Mamadou Sakho ,28,1,Crystal Palace ,0,1,0,DF,0,0,1,18(1),1599,1,2,1,0,0.2,85.5,2.2,0,6.81,6.04,0.3,1.1,0.6,5.2,1.6
133,Cheikhou Kouyat? ,28,0,West Ham ,0,1,0,MF,0,0,0,32(1),2803,2,3,5,0,0.7,76,3.7,2,6.8,6.11,0.6,2.2,0.3,1.5,1
134,Marc Albrighton ,28,1,Leicester  ,0,1,0,MF,0,0,0,30(4),2544,2,7,5,1,0.6,67.2,0.3,2,6.8,6.57,1.5,1.5,0.1,0.7,0.8
135,Andreas Christensen ,22,1,Chelsea  ,1,0,0,DF,0,0,1,23(4),2071,0,0,0,0,0.4,93.4,2.1,0,6.8,6.23,0.2,1,0.6,3.9,1.4
136,Yohan Cabaye ,32,1,Crystal Palace ,0,1,0,MF,0,0,0,28(3),2389,0,1,7,0,1.2,82.4,0.2,1,6.8,6.33,0.3,2.3,0.1,0.9,2.5
137,Patrick van Aanholt,27,1,Crystal Palace ,0,1,0,DF,0,0,1,25(3),2186,5,1,7,0,1.2,77.2,0.2,1,6.8,6.03,0.9,1.7,0.2,2,1.7
138,Jack Stephens ,24,1,Southampton  ,0,0,1,DF,0,0,1,22,1980,2,0,6,1,0.5,75.5,2,1,6.79,6.08,0.8,1.3,0.8,4.8,1.9
139,Dale Stephens ,29,1,Brighton  ,0,1,0,MF,0,0,0,36,3240,0,3,6,0,0.5,83.9,0.8,0,6.79,6.34,0.5,2.8,0.4,1.9,1.8
140,H?ctor Beller?n ,23,1,Arsenal  ,0,1,0,DF,0,0,1,34(1),3051,2,3,5,0,0.8,84.9,1,0,6.79,6.18,0.7,1.6,0.2,2,0.7
141,Chris Wood ,26,0,Burnley  ,0,1,0,FW,1,0,0,20(4),1634,10,1,1,0,1.6,60.2,3.5,1,6.79,6.43,0.3,0.3,0.2,0.7,0
142,Ciaran Clark ,28,0,Newcastle United ,0,1,0,DF,0,0,1,19(1),1745,2,1,3,0,0.6,71.7,2.1,0,6.79,6.19,0.2,1.3,0.5,7,0.9
143,Georginio Wijnaldum ,27,1,Liverpool  ,1,0,0,MF,0,0,0,27(6),2387,1,2,1,0,1.2,89.9,0.5,0,6.79,6.36,1.3,1,0.1,0.6,0.8
144,Anthony Knockaert ,26,1,Brighton  ,0,1,0,MF,0,0,0,27(6),2427,3,1,4,1,1.4,83.3,0.5,4,6.79,6.41,1.8,1.2,0.1,0.4,0.7
145,Bernardo Silva ,23,1,Manchester City ,1,0,0,MF,0,0,0,15(20),1520,6,4,0,0,0.7,87,0.1,1,6.79,6.22,0.8,0.8,0,0.3,0.3
146,James Milner ,32,1,Liverpool  ,1,0,0,MF,0,0,0,16(16),1764,0,3,3,0,0.7,86.4,0.7,1,6.78,6.66,0.4,1.8,0.2,0.7,0.7
